Subject,Gender,Handedness,Condition,TimeAxis,QuantityAxis ,ValenceAxis,TimeDirection,QuantityDirection,ValenceDirection
1,Female,Right,1,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1
2,Male,Right,1,Horizontal,Horizontal,Diagonal,Horizontal,Horizontal,Diagonal2Reverse
3,Female,Right,1,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical
4,Male,Right,1,Horizontal,Diagonal,Vertical,Horizontal,Diagonal1,Vertical
5,Female,Right,1,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical
6,Male,Right,1,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical
7,Male,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1
8,Male,Left,1,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1
9,Male,Right,1,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1
10,Male,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1
11,Male,Right,2,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1
12,Male,Right,2,Diagonal,Diagonal,Diagonal,Diagonal1Reverse,Diagonal1,Diagonal2
13,Female,Right,2,Diagonal,Vertical,Horizontal,Diagonal1,Vertical,Horizontal
14,Female,Right,2,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal
15,Male,Right,2,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal2Reverse,Diagonal1
16,Female,Right,2,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Vertical
17,Male,Right,2,Diagonal,Vertical,Vertical,Diagonal1 ,VerticalReverse,VerticalReverse
18,Female,Left,2,Vertical,Diagonal,Vertical,VerticalReverse,Diagonal1,Vertical
19,Female,Left,2,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical
20,Male,Right,2,Horizontal,Diagonal,Vertical,Horizontal,Diagonal1,Vertical
21,Female,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1
22,Female,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1
23,Female,Right,1,Horizontal,Horizontal,Diagonal,Horizontal,HorizontalReverse,Diagonal2Reverse
24,Male,Right,1,Diagonal,Vertical,Diagonal,Diagonal1,Vertical,Diagonal2Reverse
25,Female,Right,1,Horizontal,Horizontal,Diagonal,Horizontal,HorizontalReverse,Diagonal2Reverse
26,Female,Right,2,Horizontal,Horizontal,Diagonal,Horizontal,Horizontal,Diagonal2
27,Female,Right,1,Diagonal,Diagonal,Vertical,Diagonal1,Diagonal2Reverse,Vertical
28,Male,Left,2,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1
29,Female,Right,2,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Vertical
30,Male,Right,2,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical
31,Male,Left,1,Diagonal,Horizontal,Diagonal,Diagonal1,HorizontalReverse,Diagonal2Reverse
32,Male,Right,2,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,VerticalReverse
33,Male,Right,2,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1
34,Male,Left,2,Diagonal,Horizontal,Diagonal,Diagonal1,Horizontal,Diagonal1
35,Female,Right,1,Diagonal,Vertical,Vertical,Diagonal2Reverse,Vertical,Vertical
36,Female,Right,2,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal2Reverse
37,Male,Right,1,Horizontal,Horizontal,Diagonal,Horizontal,Horizontal,Diagonal1
38,Female,Right,2,Diagonal,Diagonal,Diagonal,Diagonal2Reverse,Diagonal1,Diagonal2
39,Female,Right,1,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1
40,Male,Right,2,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Vertical
41,Male,Right,1,Diagonal,Vertical,Diagonal,Diagonal1,Vertical,Diagonal2Reverse
42,Female,Left,2,Diagonal,Diagonal,Diagonal,Diagonal2,Diagonal1,Diagonal2
43,Female,Right,1,Horizontal,Vertical,Horizontal,Horizontal,Vertical,Horizontal
44,Male,Left,2,Diagonal,Diagonal,Diagonal,Diagonal2,Diagonal1,Diagonal1
45,Male,Right,2,Diagonal,Diagonal,Diagonal,Diagonal1,Diagonal1,Diagonal2
46,Female,Right,1,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical
47,Male,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal2Reverse
48,Male,Right,2,Horizontal,Diagonal,Horizontal,Horizontal,Diagonal1,Horizontal
49,Male,Right,1,Horizontal,Horizontal,Horizontal,Horizontal,HorizontalReverse,HorizontalReverse
50,Female,Right,2,Diagonal,Diagonal,Diagonal,Diagonal1,Diagonal1,Diagonal2
