Subject,Gender,Handedness,Condition,TimeAxis,QuantityAxis ,ValenceAxis,TimeDirection,QuantityDirection,ValenceDirection,TimeInterview,TimeTimeline,TimeClock,TimeMaths,TimeNumber,TimeHandedness,TimeWriting,TimeEnvironment,TimeHierarchy,TimePosNeg,TimeBackFront,TimeSimProx,TimeTaskDem,TimeAes,TimeOther,QuantityInterview,QuantityTimeline,QuantityClock,QuantityMaths,QuantityNumbers,QuantityHandedness,QuantityWriting,QuantityEnvironment,QuantityHierarchy,QuantityPosNeg,QuantityBackFront,QuantitySimProx,QuantityTaskDem,QuantityAes,QuantityOther,ValenceInterview,ValenceTimeline,ValenceClock,ValenceMaths,ValenceNumber,ValenceHandedness,ValenceWriting,ValenceEnvironment,ValenceHierarchy,ValenceBackFront,ValenceSimProx,ValenceTaskDem,ValenceAes,ValenceOther
1,Female,Right,1,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1,"Well this is kind of like a timeline, really, so ‘past’ I think as being inherently to the left, and the future being to the right. That might link with our reading and the way we read, so we start at the left hand side of the page and move to the right, and what’s on the right side of the page is in the future - what’s coming up in the story, sort of thing. And also on general timelines they seem to be in that order anyway, like historical timelines, they’re generally organised left to right. They don’t go to the future but the present; the more recent events are on the right.",yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,"That was my initial response - that I should put it furthest to the left at the bottom, being the least, and furthest to the top on the right… although I did put it slightly in there, but I realised as soon as I put it a little bit further down that it actually should be in the extreme, the furthest it can be, right at the top, so they’re completely poles apart. I was aiming for that top right-hand corner anyway, but I’m not sure I wrote that one first or not. I think I wrote that one [most] first, so I did that and then thought, actually it probably makes more sense if it’s in the extreme corner, so that would be there. They’re the furthest away from each other actually, the distance.",no,no,no,no,no,no,no,no,no,no,yes,no,no,no,"This was the same as the least and the most. This time I did put it right in the corner, so it’s basically the same thought process - they’re furthest away from each other, and the furthest extremes. It’s meant to be like an opposite thing. I didn’t put it there horizontally because that’s further away. It’s similar to a mathematical quadrant graph where you’ve got negative and negative on the bottom left, and then positive and positive on the top right, so it’s that as well - the fact that it’s worse and worse - really really bad, and that’s the worst it can possibly be. In fact, if you put numbers on this that would be the highest negative value that you could get, and same with the positive.",no,no,yes,yes ,no,no,no,no,no,yes,no,no,yes
2,Male,Right,1,Horizontal,Horizontal,Diagonal,Horizontal,Horizontal,Diagonal2Reverse,"I didn’t think the height was necessary so I thought I’d write along the line - I was thinking about the other two; we had ‘most’ and ‘least’ which I felt like may dictate height or the way you actually put it, whereas with ‘past’ and ‘future’ it doesn’t seem like something you’d think about in terms of where you’re putting it. It’s more about the distance away from each other, again, so I thought that putting it on the line was fine. It didn’t matter if it was the middle of the page or not, but I thought they had to be far away, again. And the past is before you, so ‘past’ is the first thing, so that was why it was on the left, and ‘future’ is gonna be coming up, so I put that on the right-hand side.",no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,"As you can see, I actually crossed it out - I put that top left first, because I thought, again, that writing from left to right… But then I actually thought about that if you write one to ten, you start with one on the left-hand side, with ten being on the right-hand side, and so I thought the same thing. I thought ‘wait a minute’, so if one is the least then I’ll put it on the left, so that’s why I put L there and why I put M on the right-hand side.",no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,"I do to an extent. I know I wanted to put ‘best’ towards the top and worst towards the bottom. Why I did left to right… I thought they were the furthest away from each other. I could have put ‘best’ in the top right and ‘worst’ in the top left, but I think because I write from left to right, I put ‘best’ top left - it was the first thing I thought of doing - and then ‘worst’ top right, rather than doing top-middle and bottom-middle.",no,no,no,no,no,yes,no,no,no,yes,no,no,no
3,Female,Right,1,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical,"There’s a timeline that I’d associate with that line, so the future always goes at the front, towards the right and the past is always towards the left.",yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,"Normally when you see a graph or a bar chart or whatever, you always see… I think least and most is to do with quantity, and the higher quantity always goes at the top and the low at the bottom. So that’s why I’ve done them on the line, because it kind of reminds me of one of those graphs.",no,no,yes,no,no,no,no,no,no,no,no,no,no,no,"Similar to the first one, the ‘best’ is known as bringing about the highest or happiest emotions, which you would associate with being at the top, and the worst is associated with bad things which you would associate with being quite low and towards the bottom.",no,no,no,no,no,no,no,no,no,no,no,no,yes
4,Male,Right,1,Horizontal,Diagonal,Vertical,Horizontal,Diagonal1,Vertical,In my head I thought of a timeline; obviously the future is the furthest and the past is earlier on on an axis.,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"If you put it in a box… top right is the highest point and bottom left is the lowest point of the box, and the highest point is the ‘most’ and the ‘least’ is there. Because if you imagine it like a container, if you fill it up to the top that’s the most it can go to, and if it’s empty that’s the least it can go to. Just like the quantities, basically.",no,no,no,no,no,no,yes,no,no,no,no,no,no,no,"A similar concept to this one. If you’re gonna say ‘my top five favourite things’, you’d put the favouritest thing at the top, so ‘best’, and ‘worst’ at the bottom. So a nominal kind of thing.",no,no,no,no,no,no,no,no,no,no,no,no,yes
5,Female,Right,1,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical,"To me the right-hand side seems to be forward, going forward, and the left-hand side seems to be going backwards. It’s just a gut instinct; just a feeling that the right is heading forward.",no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"This was very similar to ‘worst’ and ‘best’; ‘most’ I see as a positive, which is towards the top, and ‘least’ is negative and to me is lower down.",no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,"Because I see ‘best’ as being the top of something, and ‘worst’ as being the bottom. Because, for example, ‘top of the class’, ‘bottom of the class’, so that’s how I’d see it - ‘best’ as being higher than ‘worst’.",no,no,no,no,no,no,no,no,no,no,no,no,no
6,Male,Right,1,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical,"I tend to think of ‘past’ as being behind you, so if you’re going forward, being as I’m right-handed I see forward as going towards the right into the future, and left would be into the past.",no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,"Because I equated it to something that fills up from the bottom, so if it’s got nothing in it to start with it’s least and if it’s full it's most, hence where I’ve put L and M on the axis.",no,no,no,no,no,no,yes,no,no,no,no,no,no,no,"I was thinking about a list of things, and normally you list it so the best is at the top and the worst is at the bottom.",no,no,no,no,no,no,no,no,no,no,no,no,no
7,Male,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1,"I saw that as a timeline, so ‘past’ that way and ‘future’ that way.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"Most was basically the highest point and least was the lowest point, because ‘most’ is the best you can get out of it - the highest part or achievement - you can get the most out of it, in essence.",no,no,no,no,no,no,no,no,yes,no,no,no,no,no,"The best - ‘cause obviously [the top right quadrant is] the furthest point you can get to in terms of height and distance, whereas with ‘worst’ that’s the furthest away you can get to it. I see the horizontal as distance and the vertical as height.",no,no,no,no,no,no,no,no,no,yes,no,no,no
8,Male,Left,1,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1,"Past I put in the furthest left that it could be, because to me the past is behind me, and future is as far to the right that it could be. Left is behind; right is future - in my mind that’s the way I’d think of it. I always think that present I’m in the middle, and then future is the right and past is the left, but I suppose future could be at the top and past at the bottom, maybe. But present is always in the middle. I don’t know why I think left to right to be honest. Maybe it’s because that’s how I write. Maybe if I was Arabic it could be the other way round.",no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,"Because I interpreted the quadrants as being like a normal x and y graph, so on a graph, most will be there [in the top right quadrant] because it’s positive and positive, and least because it’s negative and negative there [in the bottom left quadrant], so that’s generally why I did it like that.",no,no,yes,no,no,no,no,no,no,no,no,no,no,no,"Best, again, because I think if something’s the best, I think it’s the most, so that’s why I put it there, and the same why I put worst there. The same as the previous one, to be honest. I think most is the best because graphically… Well, actually it’s not always true that most is the best. Okay, so maybe it’s like because it shows the strongest correlation so obviously the best is at the top and the worst is at the bottom. I think the correlation and position of the two shows a direct correlation, so it’s linear.",no,no,yes,no,no,no,no,no,no,no,no,no,yes
9,Male,Right,1,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1,"Usually if you think about history as a single line, so you think the future is to your right and the past is to your left, and you’re down the centre at zero, ‘cause you’re current.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"In maths and stuff, generally your most value is in your top right, and your least is in the bottom left quadrant, even though actually, if you were to take it on just one line, you’d probably put it there and there [on top part of y axis].",no,no,yes,no,no,no,no,no,no,no,no,no,no,no,"Depends which way your graph is round, because you could have ‘number of deaths’ compared to ‘amount of money spent on deaths’ [in the top right quadrant], so that would actually be terrible, but if it was something else, like amount of money made, number of products sold, then that’s really good. You generally try and show the best things are at the top, and bad things are way down here in the minus minus section, because they’re very bad.",no,no,yes,yes ,no,no,no,no,no,no,no,no,no
10,Male,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1,"Because I saw the y line as the present, so P before present and F after present. I guess I associate below the x axis with negative and I didn’t really know how time could be negative. I just went for the top because it seemed like the right thing to do.",no,no,no,no,no,no,no,no,yes,no,no,no,no,no,I saw that as a numbered axis; M right at the top the most and L for the least.,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,"Again I saw these with numbers on - minus to positive [top left], minus to positive [bottom right], positive-positive [top right], minus-minus [bottom left]. I struggled because I didn’t know whether to put the W there [just above x axis on y axis] or there [at top of y axis], because I was thinking ‘best’ and ‘worst’ in terms of performance, so I presumed greater values - you know I was saying about the positive and negative axes - would be best, but I didn’t know if ‘worst’ would be negative or not, or whether it should have gone there [just above x axis on y axis]. So I thought zero there [right in the middle] obviously, so [slightly above that] 1, 1 is a low positive number - is that the worst or is two negatives?!",no,no,yes,yes ,no,no,no,no,no,no,no,no,no
