Subject,Gender,Handedness,Condition,ResponseAxis,ResponseDirection,Horizontal,Vertical
1,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
2,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
3,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
4,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
5,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
6,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
7,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
8,Male,Left,Time,Horizontal,Horizontal,left-to-right,NA
9,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
10,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
11,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
12,Male,Right,Time,Diagonal,Diagonal1Reverse,right-to-left,up-to-down
13,Female,Right,Time,Diagonal,Diagonal1,NA,down-to-up
14,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
15,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
16,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
17,Male,Right,Time,Diagonal,Diagonal1,NA,down-to-up
18,Female,Left,Time,Vertical,VerticalReverse,NA,up-to-down
19,Female,Left,Time,Horizontal,Horizontal,left-to-right,NA
20,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
21,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
22,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
23,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
24,Male,Right,Time,Diagonal,Diagonal1,NA,down-to-up
25,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
26,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
27,Female,Right,Time,Diagonal,Diagonal1,NA,down-to-up
28,Male,Left,Time,Horizontal,Horizontal,left-to-right,NA
29,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
30,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
31,Male,Left,Time,Diagonal,Diagonal1,NA,down-to-up
32,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
33,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
34,Male,Left,Time,Diagonal,Diagonal1,NA,down-to-up
35,Female,Right,Time,Diagonal,Diagonal2Reverse,NA,down-to-up
36,Female,Right,Time,Horizontal,Horizontal,left-to-right,NA
37,Male,Right,Time,Horizontal,Horizontal,left-to-right,NA
38,Female,Right,Time,Diagonal,Diagonal2Reverse,NA,down-to-up
