Subject,Condition,ConsistentAxis,AxisChoice,ChoiceDetailed,ConsistentAxialDirection,AxialDirectionDetailed,AxialDirectionHorizontal,AxialDirectionVertical,ConsistentRoundDirection,RoundDirectionDetailed,SameAxis
S1,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S1,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
S1,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S10,N,no,vertical,predominantly_vertical,NA,NA,NA,NA,NA,NA,no
S10,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S10,V,no,NA,round,NA,NA,NA,NA,yes,CW,no
S100,N,yes,diagonal,diagonal,yes,up-right-to-down-left,right-to-left,up-to-down,NA,NA,yes
S100,Q,yes,diagonal,diagonal,yes,up-left-to-down-right,left-to-right,up-to-down,NA,NA,yes
S100,T,yes,diagonal,diagonal,yes,down-left-to-up-right,left-to-right,down-to-up,NA,NA,yes
S100,V,yes,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,yes
S101,Q,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,no
S101,T,no,NA,round,NA,NA,NA,NA,no,NA,no
S101,V,yes,diagonal,diagonal,yes,up-left-to-down-right,left-to-right,up-to-down,NA,NA,no
S102,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S102,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S102,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S102,V,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,no
S103,N,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S103,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S103,T,yes,horizontal,horizontal,no,NA,NA,NA,NA,NA,no
S103,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S104,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S104,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
S104,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S105,N,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S105,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
S105,T,no,NA,round,NA,NA,NA,NA,no,NA,no
S106,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S106,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S107,N,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S107,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
