ID,Handedness,Gender,Type,ConceptOrder,Resp,Axis,Pixel,Exp1,Exp2,Exp3,Exp4
S1,Right,Female,N,1,2,x,237,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,N,1,2,y,549,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,N,2,4,x,528,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,N,2,4,y,545,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,N,3,7,x,234,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,N,3,7,y,218,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,N,4,9,x,553,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,N,4,9,y,238,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,Q,1,least,x,246,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,Q,1,least,y,508,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,Q,2,less,x,478,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,Q,2,less,y,521,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,Q,3,more,x,268,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,Q,3,more,y,173,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,Q,4,most,x,531,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,Q,4,most,y,178,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,V,1,worst,x,242,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,V,1,worst,y,474,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,V,2,worse,x,514,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,V,2,worse,y,500,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,V,3,better,x,270,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,V,3,better,y,172,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,V,4,best,x,541,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S1,Right,Female,V,4,best,y,185,I put them in order of least to most with top left being least and bottom right being most.,I put them in order of worst to best with the top left being worst and the bottom right being best.,I put the in order if earliest to latest with top left being earliest to bottom right being latest.,"I sort of put them in numerical order. 2 at the top left, 4 at the top right.7 at the bottom left, 9 at the bottom right."
S10,Right,Male,N,1,2,x,350,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,N,1,2,y,348,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,N,2,4,x,339,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,N,2,4,y,544,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,N,3,7,x,166,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,N,3,7,y,332,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,N,4,9,x,358,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
